	index	oldIndex	journal	title	text	year	lang	type	region	PMID	url	key	contentId
10	10	319	Vaccine	Temporal trends in anti-vaccine discourse on Twitter.	Despite vaccination's role in preventing communicable diseases, misinformation threatens uptake. Social media may disseminate such anti-vaccination messages. We characterized trends in pro- and anti-vaccination discourse on Twitter. All tweets between 2010 and 2019 containing vaccine-related hashtags were identified. Pro- and anti-vaccine tweets and users per quarter (3-months) were tabulated; discussion subcommunities were identified with network analysis. 1,637,712 vaccine-related tweets were identified from 154 pro-vaccine and 125 anti-vaccine hashtags, with 86% of users posting exclusively pro-vaccine and 12% posting exclusively anti-vaccine hashtags. Pro-vaccine tweet volumes are larger than anti-vaccine tweets and consistently increase over time. In contrast, anti-vaccine tweet volumes have decreased since 2014, despite an increasing anti-vaccine user-base. Users infrequently responded across pro/anti-vaccine alignment (0.2%). Despite greater volumes of pro-vaccination discourse in recent years, and the anti-vaccination content userbase being smaller, the anti-vaccine community continues to grow in size. This finding coupled with the minimal inter-communication between communities suggests possible ideological isolation.	2019	eng	Journal Article	Netherlands	31300292	https://www.ncbi.nlm.nih.gov/pubmed/31300292	vaccine	1805789466376069146
11	11	185	The Gerontologist	The Institutional Active Aging Paradigm in Europe (2002-2015).	The institutional paradigm on active aging is evolving into a reductive treatment of a phenomenon that is multidimensional. International institutions and researchers should pay closer attention and forge a path toward an honest and critical examination of the real conditions and expectations of older people concerning the discursive and practical proposals of active aging, in all its different forms.	2019	eng	Journal Article	United States	31298697	https://www.ncbi.nlm.nih.gov/pubmed/31298697	aging	-2081760549863309770
12	12	559	Journal of cellular and molecular medicine	Kaempferol attenuates liver fibrosis by inhibiting activin receptor-like kinase 5.	Liver fibrosis is a common public health problem. Patients with liver fibrosis are more likely to develop cirrhosis, or hepatocellular carcinoma (HCC) as a more serious consequence. Numerous therapeutic approaches have emerged, but the final clinical outcome remains unsatisfactory. Here, we discovered a flavonoid natural product kaempferol that could dramatically ameliorate liver fibrosis formation. Our data showed that intraperitoneal injection of kaempferol could significantly decrease the necroinflammatory scores and collagen deposition in the liver tissue. In addition, serum alanine aminotransferase (ALT), aspartate aminotransferase (AST), laminin (LN) and hyaluronic acid (HA) levels were significantly down-regulated in kaempferol treatment group compared with those in the control group. Our study also demonstrated that kaempferol markedly inhibited the synthesis of collagen and activation of hepatic stellate cells (HSCs) both in vivo and in vitro. Furthermore, the results of Western blotting revealed that kaempferol could down-regulate Smad2/3 phosphorylation dose-dependently. These bioactivities of kaempferol may result from its targeted binding to the ATP-binding pocket of activin receptor-like kinase 5 (ALK5), as suggested by the molecular docking study and LanthaScreen Eu kinase binding assay. Above all, our data indicate that kaempferol may prove to be a novel agent for the treatment of liver fibrosis or other fibroproliferative diseases.	2019	eng	Journal Article	England	31273920	https://www.ncbi.nlm.nih.gov/pubmed/31273920	Cirrhosis	-5170198873410718233
13	13	5	Archivos de cardiologia de Mexico	Sudden Death Report in Mexico (1998-2014).	Existe una subregistro de información epidemiológica oficial; poner el problema real en perspectiva ayudaría a establecer políticas públicas adecuadas tanto para la prevención como para la investigación de las causas de la MS en México.	2019	eng	Journal Article	Mexico	31314013	https://www.ncbi.nlm.nih.gov/pubmed/31314013	heart+disease	-3367778232969996503
14	14	58	The Pan African medical journal	[Cerebral tuberculoma a diagnostic challenge: case study and update].	Central nervous system (CNS) tuberculosis is the second most common presentation after tuberculous meningitis. It is a major cause of morbidity and mortality in the developing countries, accounting for 10-30% of intracranial expansive lesions in these countries against 0.2% in some Western countries. This study aims to report an atypical clinical and radiological manifestation (brain MRI and spectroscopy) of cerebral tuberculoma in order to provide an update on this infectious disease. The study involved a 44-year old female patient with no particular previous history, with headaches persisting for 1 year and complicated by partial secondarily generalized seizures and heaviness at the left hemicorpus with episodes of vomiting without visual disorder or fever or deterioration of general condition after 8 months. Clinical examination showed conscious patient with Glasgow Coma Scale (GCS) 15, equal and reactive pupils, walking and/or standing without fault, with 4/5 left-sided hemiparesis without other neurological signs. Brain MRI objectified right parietal subtentorial plurilobulated isointense poorly differentiated lesion on T1 weighted sequence without contrast agents injection and heterogeneous lesion with hyperintense edge and hypointense fundus, suggesting fleshy process with areas of central necrosis and perilesionnal edema extending in finger-like fashion with intense annular enhancement after gadolinium injection on T2 weighted sequence. Spectroscopy showed glial tumor. The patient received anticonvulsant therapy and macroscopic complete resection. Anatomopathologic analysis showed cerebral tuberculoma. She received antituberculosis drugs with seizure stoppage and deficit recovery after 4 weeks. This study highlights the clinical and radiological polymorphism of cerebral tuberculoma. This is suspected based on laboratory tests as well as on a body of clinical and radiological evidences but definitive diagnosis is based on anatomopathologic analysis. Early management is essential because complications can be severe and result in a poor prognosis.	2019	fre	English Abstract	Uganda	31303945	https://www.ncbi.nlm.nih.gov/pubmed/31303945	tuberculosis	4988225165850707692
15	15	22	Handchirurgie, Mikrochirurgie, plastische Chirurgie : Organ der Deutschsprachigen Arbeitsgemeinschaft fur Handchirurgie : Organ der Deutschsprachigen Arbeitsgemeinschaft fur Mikrochirurgie der Peripheren Nerven und Gefasse : Organ der V...	[Osseous Tuberculosis - interdisciplinary treatment from diagnostics to microsurgical defect reconstruction - Case report and review of the literature and proposal of a therapeutic algorithm].	Die Tuberkulose stellt mit jährlich 10 Millionen neuen Fällen und über einer Million Toten im Jahr ein zentrales globales Problem dar. Eine Knochentuberkulose stellt dem gegenüber als extrem selten auftretende Form der Tuberkulose eine besondere Herausforderung hinsichtlich der Diagnosestellung sowie der Sanierung und Defektdeckung von tiefgreifenden Defekten im Bereich der Extremitäten dar. Für Mitteleuropa stellt sich vor dem Hintergrund vermehrter Migration und ansteigender Zahlen von Tuberkulosefällen verstärkt die Frage nach einer sicheren Diagnose, Therapie und Schutzmaßnahmen im Umgang mit dem Patienten.Im vorliegenden Fall, einer 49-jährigen Frau aus Pakistan, erfolgte eine erstmalige Vorstellung mit dem klinischen Bild eines Exanthems auf Höhe des oberen Sprunggelenkes mit radiologischen Zeichen einer Osteolyse. Die pathologische und molekularpathologische Diagnostik erbrachte den Nachweis einer Infektion durch einen Erreger des M. tuberculosis-Komplexes. In der Initialphase über 6 Wochen erfolgte die leitliniengerechte 4fach-Therapie mit Isoniazid (INH), Rifampicin (RMP), Pyrazinamid (PZA) und Ethambutol (EMB) und in der anschließenden Kontinuitätsphase die 2fach-Therapie mit INH und RMP für 12 Monate.14 Monate später, erfolgte bei Rezidiv-Abszess die erneute stationäre Aufnahme, mit der Fortführung der tuberkulostatischen Therapie als Vierfach-Kombination aus INH, RMP, PZA und EMB für 6 Wochen und als Zweifachkombination INH und RMP für insgesamt ein Jahr.Nach Sanierung des Abszesses erfolgte die Ruhigstellung des Gelenkes mittels Sprunggelenks-Arthrodese und schließlich die Defektdeckung der tiefgreifenden Nekrose am rechten Sprunggelenk durch einen freien M. gracilis-Lappenplastik durch die Plastische Chirurgie.In dem hier beschriebenen Fall erfolgte die suffiziente ossäre Versorgung sowie Weichgewebsdeckung in einem Schwerpunktkrankenhaus durch die Zusammenarbeit der Infektiologie, der orthopädisch-unfallchirurgischen und der plastisch-chirurgischen Abteilung. Der knöcherne Defekt konnte so saniert, der Weichgewebsdefekt gedeckt und letztlich der Extremitätenerhalt gesichert werden. Im Rahmen dieses Fallbeispiels soll aufgrund der zunehmenden Relevanz dieser Entität ein umfassender Überblick über die relevante aktuelle Literatur gegeben werden und ein Therapie-Algorithmus abgeleitet werden.	2019	ger	Journal Article	Germany	31311057	https://www.ncbi.nlm.nih.gov/pubmed/31311057	tuberculosis	-5917314377186856799
16	16	208	International journal of clinical pharmacy	Counseling of inhalation medicine perceived by patients and their healthcare providers: insights from North Cyprus.	"Background In order to achieve patient adherence, individuals require different levels of information. Basic and adequate information must be provided by different health care providers to patients. Objective To assess the information level of patients with asthma and chronic obstructive pulmonary disease (COPD) and to determine the source of their information regarding the medicine they use in addition to their satisfaction, inhalation usage techniques and perception of the information providing role of health care professionals. Setting Respiratory disease clinics in Nicosia and Famagusta state hospitals and community pharmacies in North Cyprus. Method A cross-sectional multicentered observational study was carried out in respiratory disease clinics and community pharmacies. Patients' knowledge and healthcare providers' perceptions of their roles were evaluated using ""The satisfaction with information about medicines scale"". Evaluation of patient's inhalation techniques was performed using a validated checklist. Main outcome measure (a) Patients' knowledge of their medication and satisfaction with the information provided by health care professionals, (b) the prevalence of critical inhalation mistakes, (c) health care professionals' perceptions of their patient counseling practice. Results A total of 110 patients were evaluated, and 6 physicians and 76 pharmacists were recruited for the interview. The health care professionals reported that they talk about the action and the use of medicines with the patients. The standardized average patients' satisfaction score for action and use was 0.35 (± 0.21), whereas for potential side effects, it was 0.26 (± 0.15). Even though 92% of patients believed that they use their inhaler properly, 75% of the patients made at least one critical mistake while using the inhalation demo, which would likely affect the delivery of the medicine to the lungs. Conclusion In spite of health care professionals feeling comfortable with their counseling practices, the majority of patients reported dissatisfaction with the information they provided about medicine, and three out of four patients were making critical mistakes in the use of inhalers. More effort is warranted by health care professionals on patient education to limit critical mistakes."	2019	eng	Journal Article	Netherlands	31313004	https://www.ncbi.nlm.nih.gov/pubmed/31313004	asthma	6157037646878010131
17	17	246	American journal of physiology. Renal physiology	Analysis of Continence Reflexes by Dynamic Urethral Pressure Recordings in a Rat Sress Urinary Incontinence Model induced by Multiple Simulated Birth Traumas.	This study evaluated the real-time changes in urethral pressure during the storage phase using a rat model with stress urinary incontinence (SUI) induced by simulated multiple birth traumas, and investigated the relationship between urethral continence function and dynamic parameters associated with the changes in urethral pressure. Sprague-Dawley rats were divided into sham and 3-times vaginal distention (VD) groups. After transection of T8-9 spinal cord, simultaneous bladder and urethral pressure recordings were performed during intravesical pressure elevation. Then, urodynamic parameters such as leak point pressure (LPP), urethral baseline pressure (UBP), maximum urethral pressure (MUP), the MUP-UBP differential (dUP) during intravesical pressure elevation, the bladder pressure when urethral contraction begins (Puc), and the bladder pressure at bladder neck opening (Pno) were measured and compared. Compared with sham group, LPP, UBP, dUP, MUP, Puc, and Pno were significantly decreased in VD group. The pressure differences between LPP and Pno (LPP-Pno), and between LPP and UBP (LPP-UBP) were also significantly different in two groups. However, the difference values of LPP and MUP (LPP-MUP) or Pno and UBP (Pno-UBP) were not altered after VD. Our new methods of simultaneous recordings of dynamic changes in bladder and urethral pressures are useful to fully evaluate the functional alterations in the urethral continence function in the SUI model induced by multiple VD. Moreover, LPP-UBP values, which corresponds to Valsalva LPP (VLPP)-maximum urethral closure pressure (MUCP) in clinical urodynamics, would be useful to evaluate the impaired urethral continence function after simulated birth traumas in animal models.	2019	eng	Journal Article	United States	31313954	https://www.ncbi.nlm.nih.gov/pubmed/31313954	stress	6023609667389715259
18	18	141	Drugs	Camrelizumab: First Global Approval.	Camrelizumab (AiRuiKa™), a programmed cell death 1 (PD-1) inhibitor being developed by Jiangsu Hengrui Medicine Co. Ltd, recently received conditional approval in China for the treatment of relapsed or refractory classical Hodgkin lymphoma. The drug is also being investigated as a treatment for various other malignancies, including B cell lymphoma, oesophageal squamous cell carcinoma, gastric/gastroesophageal junction cancer, hepatocellular carcinoma, nasopharyngeal cancer and non-squamous, non-small cell lung cancer. This article summarizes the milestones in the development of camrelizumab leading to this first approval for classical Hodgkin lymphoma.	2019	eng	Journal Article	New Zealand	31313098	https://www.ncbi.nlm.nih.gov/pubmed/31313098	cancer	7905485530310717815
19	19	339	Colorectal disease : the official journal of the Association of Coloproctology of Great Britain and Ireland	Surgical Repair of Traumatic Cloaca: a Modified Technique.	The modified repair technique for traumatic cloaca is feasible and achieves good functional outcomes and improved life quality. This article is protected by copyright. All rights reserved.	2019	eng	Journal Article	England	31306560	https://www.ncbi.nlm.nih.gov/pubmed/31306560	depression	8194079557551008273
20	20	243	Endocrine	Clinical and molecular assessment of 13 Iranian families with Wolfram syndrome.	The current study adds to the mutation repository of WS and shows a panel of mutations in Iranian population. Such panel would facilitate genetic counseling and prenatal diagnosis in families with WS cases.	2019	eng	Journal Article	United States	31313226	https://www.ncbi.nlm.nih.gov/pubmed/31313226	diabetes	-1672166631728511207
21	21	634	Neurology	Determining clinically meaningful decline in preclinical Alzheimer disease.	A preclinical AD population declines to the cognitive performance of an early MCI population in 6 years. Slowing this rate of decline by 40%-50% delays clinically relevant impairment by 3 years-a potentially meaningful treatment effect. However, assuming a 40%-50% drug effect highlights the difficulties in preclinical AD trial design, as a more commonly assumed treatment effect of 25% results in a required sample size of 2,000/group. Designers of preclinical AD treatment trials need to prepare for larger and longer trials than are currently being considered. Interactions with Aβ status were inconsistent and not readily generalizable.	2019	eng	Journal Article	United States	31289148	https://www.ncbi.nlm.nih.gov/pubmed/31289148	Alzheimer	-4374331682165863764
22	22	229	Nihon yakurigaku zasshi. Folia pharmacologica Japonica	[Analyses of Foxp3	Subcutaneous immunotherapy (SCIT) is a causative treatment for allergic diseases. More recently, it has become clear that regulatory T (Treg) cells are increased by SCIT. Treg cells are generally divided into two main groups: 1) CD25	2019	jpn	Journal Article	Japan	31308345	https://www.ncbi.nlm.nih.gov/pubmed/31308345	asthma	5714314286511882372
23	23	40	Environmental research	A time-trend ecological study for identifying flood-sensitive infectious diseases in Guangxi, China from 2005 to 2012.	The spectrum of infectious diseases which are associated with floods are bacillary dysentery, AHC, influenza A (H	2019	eng	Journal Article	Netherlands	31306984	https://www.ncbi.nlm.nih.gov/pubmed/31306984	tuberculosis	-8141818108252244664
24	24	384	Nutrition (Burbank, Los Angeles County, Calif.)	Effects of lipoic acid and ω-3 long-chain polyunsaturated fatty acids on the kidney in the ovariectomized rat model of menopause.	The results suggest that ovariectomy did not affect the redox profile in the kidneys. LA, DHA, and EPA supplementation increased certain endogenous antioxidants; however, EPA may have a prooxidant effect on the kidneys.	2019	eng	Journal Article	United States	31310958	https://www.ncbi.nlm.nih.gov/pubmed/31310958	stress	-8939172344092554931
25	25	32	Southern African journal of HIV medicine	Outcomes of Stevens-Johnson syndrome and toxic epidermal necrolysis in HIV-infected patients when using systemic steroids and/or intravenous immunoglobulins in Pietermaritzburg, South Africa.	HIV-infected SJS and TEN patients were treated in a tertiary dermatology ward with a treatment plan of skin care, and a combination of systemic corticosteroids and IVIG respectively had a survival rate of 97%.	2019	eng	Journal Article	South Africa	31308970	https://www.ncbi.nlm.nih.gov/pubmed/31308970	tuberculosis	-1591454024897803197
26	26	77	Heart and vessels	Early palliative balloon pulmonary valvuloplasty in neonates and young infants with tetralogy of Fallot.	We aim to clarify the efficacy of early palliative balloon pulmonary valvuloplasty (BPV) in neonates and young infants (< 60 days) with tetralogy of Fallot (TOF). We performed palliative BPV in 31 subjects, regardless of the presence of cyanosis, with Z score of the pulmonary valve diameter (PVD) less than - 2.00. Primary and secondary endpoints were to avoid early surgical interventions for subjects within 6 months of age and to undergo the pulmonary valve-sparing procedure at corrective surgery, respectively. We studied factors associated with these outcomes among them. BPV was performed at 19 days (14-33) of age and with a weight of 3.34 kg (3.02-3.65). Systemic oxygen saturation, Z score of the PVD, and pulmonary arterial index (PAI) were 87% (81-91), - 3.56 (- 4.15 to - 2.62), and 128 mm	2019	eng	Journal Article	Japan	31302722	https://www.ncbi.nlm.nih.gov/pubmed/31302722	heart+disease	-6874540813378776198
27	27	117	Journal of Zhejiang University. Science. B	Involvement of mitochondrial dysfunction in hepatotoxicity induced by Ageratina adenophora in mice.	Ageratina adenophora is a noxious plant and it is known to cause acute asthma, diarrhea, depilation, and even death in livestock (Zhu et al., 2007; Wang et al., 2017). A. adenophora grows near roadsides and degraded land worldwide (He et al., 2015b). In the areas where it grows, A. adenophora is an invasive species that inhibits the growth of local plants and causes poisoning in animals that come in contact with it (Nie et al., 2012). In China, these plants can be found in Yunnan, Sichuan, Guizhou, Chongqing, and other southwestern areas (He et al., 2015a) and they have become a dominant species in these local regions. It threatens the native biodiversity and ecosystem in the invaded areas and causes serious economic losses (Wang et al., 2017). It has been reported that A. adenophora can grow in the northeast direction at a speed of 20 km per year in China (Guo et al., 2009). Because of the damage caused by A. adenophora, it ranks among the earliest alien invasive plant species in China (Wang et al., 2017).	2019	eng	Journal Article	China	31273967	https://www.ncbi.nlm.nih.gov/pubmed/31273967	Diarrhea	-3173020603774823976
28	28	35	Neuro-ophthalmology (Aeolus Press)	Coexistence of Papillitis and Posterior Placoid Chorioretinopathy as the Presenting Symptoms of Syphilis-Human Immunodeficiency Virus Coinfection.	A 27-year-old male was presented with a decrease in vision in the left eye. Best-corrected visual acuity was 10/10 in the right eye and counting fingers at 2 m in the left eye. On fundus examination, the left optic disc was oedematous and there was a wide yellowish, well-defined placoid lesion between the temporal vascular arcades with mild vitreous inflammation. However, a small yellowish well-defined placoid lesion was detected in the inferior temporal region of the macula in the right eye. He was diagnosed with posterior placoid chorioretinopathy (PPC), papillitis, and neurosyphilis after performing fundus fluorescein angiography, fundus autofluorescence imaging, optical coherence tomography, serology for human immunodeficiency virus (HIV) and syphilis, and cerebrospinal fluid examination. Intravenous penicillin treatment was commenced as soon as the diagnosis was established. Seven days after treatment initiation, lesions were partially regressed. PPC and papillitis are rare manifestations of ocular syphilis. In addition, neurosyphilis may also accompany these manifestations. Therefore, syphilis should be considered in the differential diagnosis of patients who have PPC or papillitis and all patients should be tested for HIV coinfection and neurosyphilis.	2019	eng	Case Reports	England	31312245	https://www.ncbi.nlm.nih.gov/pubmed/31312245	HIV	-9107331682787867601
29	29	42	Scientific reports	Different Antioxidant Efficacy of Two Mn	Oxidative stress due to excess superoxide anion ([Formula: see text]) produced by dysfunctional mitochondria is a key pathogenic event of aging and ischemia-reperfusion diseases. Here, a new [Formula: see text]-scavenging Mn	2019	eng	Journal Article	England	31311943	https://www.ncbi.nlm.nih.gov/pubmed/31311943	aging	-1021685224930603833
