 	Primary Angioplasty: Efficacy and Outcomes	Internationally ischaemic heart disease (IHD) is the single most common cause of death, and its frequency is increasing. The relative incidences of ST-elevation myocardial infarction (STEMI) and non-ST-elevation myocardial infarction (NSTEMI) are decreasing and increasing, respectively. In European countries, the incidence rate for STEMI ranges from 43 to 144 per 100,000 population per year. Similarly, the reported adjusted incidence rates from the USA decreased from 133 per 100,000 in 1999 to 50 per 100,000 in 2008, whereas the incidence of NSTEMI remained constant or increased slightly. STEMI is more common in younger than in older people and is more common in men than in women.	2019	eng	Review	 	31314430	https://www.ncbi.nlm.nih.gov/pubmed/31314430	heart+disease
JACC. Basic to translational science	Successful Reconstruction of the Right Ventricular Outflow Tract by Implantation of Thymus Stem Cell Engineered Graft in Growing Swine.	Graft cellularization holds great promise in overcoming the limitations associated with prosthetic materials currently used in corrective cardiac surgery. In this study, the authors evaluated the advantages of graft cellularization for right ventricular outflow tract reconstruction in a novel porcine model. After 4.5 months from implantation, improved myocardial strain, better endothelialization and cardiomyocyte incorporation, and reduced fibrosis were observed in the cellularized grafts compared with the acellular grafts. To the authors' knowledge, this is the first demonstration of successful right ventricular outflow tract correction using bioengineered grafts in a large animal model.	2019	eng	Journal Article	United States	31312760	https://www.ncbi.nlm.nih.gov/pubmed/31312760	heart+disease
JACC. Basic to translational science	Cathepsin A Inhibitors to Treat Heart Disease: Much Potential, Many Questions.	 	2019	eng	Editorial	United States	31312758	https://www.ncbi.nlm.nih.gov/pubmed/31312758	heart+disease
Frontiers in cardiovascular medicine	New Promises and Challenges on Inflammation and Atherosclerosis: Insights From CANTOS and CIRT Trials.	 	2019	eng	Journal Article	Switzerland	31312638	https://www.ncbi.nlm.nih.gov/pubmed/31312638	heart+disease
Frontiers in pediatrics	Microcirculatory Differences in Children With Congenital Heart Disease According to Cyanosis and Age.	None	2019	eng	Journal Article	Switzerland	31312623	https://www.ncbi.nlm.nih.gov/pubmed/31312623	heart+disease
American journal of translational research	Significant role and mechanism of microRNA-143-3p/KLLN axis in the development of coronary heart disease.	Cardiovascular disease predominantly includes coronary heart disease (CHD) and stroke, results in high morbidity and mortality. MicroRNA-143-3p (miR-143-3p) is a tumor suppressor and is involved in many cancers. However, the role and mechanism of miR-143-3p in coronary heart disease is still unclear. In this study, we identified that miR-143-3p was up-regulated in rabbit CHD model. The results of TargetScan and the dual luciferase reporter assay indicated that KLLN (killin, p53 regulated DNA replication inhibitor) was a direct target of miR-143-3p. Besides, we revealed that KLLN was down-regulated in rabbit coronary heart disease model. In addition, we found that the related-markers of CHD such as TC (total cholesterol), TG (triglyceride), and LDLC (low-density lipoprotein cholesterol) in the model group were significantly increased than that in the control group. And compared with the model group, miR-143-3p inhibitor significantly reduced TC, TG, LDLC expression, while miR-143-3p mimic further increased the expression of TC, TG, and LDLC. We next found that miR-143-3p mimic promoted cell viability and migration of vascular smooth muscle cells, inhibited apoptosis; and these changes were reversed by KLLN-plasmid. And miR-143-3p inhibitor had the counter effects. Our study provided a new target for the treatment of CHD and deserves further study.	2019	eng	Journal Article	United States	31312371	https://www.ncbi.nlm.nih.gov/pubmed/31312371	heart+disease
Scientific reports	Arterial tissue transcriptional profiles associate with tissue remodeling and cardiovascular phenotype in children with end-stage kidney disease.	Chronic kidney disease (CKD) greatly increases the risk for cardiovascular disease (CVD). However, molecular mechanisms underlying CKD-induced arterial remodeling are largely unknown. We performed a systematic analysis of arterial biopsies from children with stage 5 predialysis CKD participating in the Cardiovascular Comorbidity in Children with Chronic Kidney Disease (4 C) study. For comparison, we studied biopsies from children without CKD, coronary bypass vessels from adults with atherosclerotic coronary heart disease without CKD and aortic sections of subtotally nephrectomized rats. In pediatric CKD patients, gene expression was correlated to the cardiovascular phenotype assessed by surrogate end-points. The arterial calcium content correlated with the intima-media thickness (IMT) of biopsied vessels from pediatric CKD patients, was markedly increased compared to biopsies from children without CKD and comparable to adult coronary bypass patients. Significant transcriptional changes included ECM components, pro-calcifying factors, and physiological calcification inhibitors; most were highly accordant with changes observed in adults with atherosclerosis and in uremic rats. Individual gene expression levels were significantly associated with the left ventricular mass index and carotid intima media thickness. Thus, inflammatory processes (TNF, IL-10), calcification inhibitors (CA2), the Wnt-pathway (FGF-2) and foremost, ECM components (HMGA1, VNN1, VCAN), impact pathobiological responses in arteries from children with CKD.	2019	eng	Journal Article	England	31311999	https://www.ncbi.nlm.nih.gov/pubmed/31311999	heart+disease
The Journal of biological chemistry	The tumor suppressor RASSF1A modulates inflammation and injury in the reperfused murine myocardium.	Inflammation is a central feature of cardiovascular disease including myocardial infarction and heart failure. Reperfusion of the ischemic myocardium triggers a complex inflammatory response that can exacerbate injury and worsen heart function, as well as prevent myocardial rupture and mediate wound healing. Therefore, a more complete understanding of this process could contribute to interventions that properly balance inflammatory responses for improved outcomes.  In this study, we leveraged several approaches including global and regional ischemia/reperfusion (I/R), genetically modified mice, and primary cell culture, to investigate the cell type specific function of the tumor suppressor Ras association domain family member 1 isoform A (RASSF1A) in cardiac inflammation. Our results revealed that genetic inhibition of RASSF1A in cardiomyocytes affords cardioprotection, whereas myeloid-specific deletion of RASSF1A exacerbates inflammation and injury caused by I/R in mice. Cell-based studies revealed that RASSF1A negatively regulates NF-kB and thereby attenuates inflammatory cytokine expression. These findings indicate that myeloid RASSF1A antagonizes I/R-induced myocardial inflammation and suggest that RASSF1A may be a promising target in immunomodulatory therapy for the management of acute heart injury.	2019	eng	Journal Article	United States	31311858	https://www.ncbi.nlm.nih.gov/pubmed/31311858	heart+disease
Enfermeria clinica	Knowledge, awareness, and perception of coronary heart disease (CHD) among residents in Kuantan, Pahang, Malaysia.	These study findings indicated that public health promotion and intervention are needed in Kuantan, Pahang regards to knowledge and awareness of CHD symptoms and risk factors.	2019	spa	Journal Article	Spain	31311745	https://www.ncbi.nlm.nih.gov/pubmed/31311745	heart+disease
Journal of the American Heart Association	Deletion of the Cardiomyocyte Glucocorticoid Receptor Leads to Sexually Dimorphic Changes in Cardiac Gene Expression and Progression to Heart Failure.	Background The contribution of glucocorticoids to sexual dimorphism in the heart is essentially unknown. Therefore, we sought to determine the sexually dimorphic actions of glucocorticoid signaling in cardiac function and gene expression. To accomplish this goal, we conducted studies on mice lacking glucocorticoid receptors (GR) in cardiomyocytes (cardioGRKO mouse model). Methods and Results Deletion of cardiomyocyte GR leads to an increase in mortality because of the development of spontaneous cardiac pathology in both male and female mice; however, females are more resistant to GR signaling inactivation in the heart. Male cardioGRKO mice had a median survival age of 6 months. In contrast, females had a median survival age of 10 months. Transthoracic echocardiography data showed phenotypic differences between male and female cardioGRKO hearts. By 3 months of age, male cardioGRKO mice exhibited left ventricular systolic dysfunction. Conversely, no significant functional deficits were observed in female cardioGRKO mice at the same time point. Functional sensitivity of male hearts to the loss of cardiomyocyte GR was reversed following gonadectomy. RNA-Seq analysis showed that deleting GR in the male hearts leads to a more profound dysregulation in the expression of genes implicated in heart rate regulation (calcium handling). In agreement with these gene expression data, cardiomyocytes isolated from male cardioGRKO hearts displayed altered intracellular calcium responses. In contrast, female GR-deficient cardiomyocytes presented a response comparable with controls. Conclusions These data suggest that GR regulates calcium responses in a sex-biased manner, leading to sexually distinct responses to stress in male and female mice hearts, which may contribute to sex differences in heart disease, including the development of ventricular arrhythmias that contribute to heart failure and sudden death.	2019	eng	Journal Article	England	31311395	https://www.ncbi.nlm.nih.gov/pubmed/31311395	heart+disease
Journal of health psychology	Mental health treatment to assist in heart disease improved outcomes.	In this commentary, we highlight key scientific advancements in the area of depression and heart disease dual diagnosis, to explore how new approaches can be integrated from a mental health counseling perspective. The incorporation of mental health counseling is suggested as an aid in the treatment of patients with a cardiac disease diagnosis. However, there is no structured awareness or training program for mental health counselors to associate depression with heart disease since this involves both a high level of interdisciplinary research and collaboration with existing healthcare providers. Alongside rampant calls for changes in our modern healthcare system, new holistic practices may emerge, placing mental health services at the forefront to assist in improving cardiac disease patient outcomes.	2019	eng	Journal Article	England	31311333	https://www.ncbi.nlm.nih.gov/pubmed/31311333	heart+disease
Annals of rehabilitation medicine	Clinical Practice Guideline for Cardiac Rehabilitation in Korea.	CR involves a more cost-effective use of healthcare resources relative to that of general treatments, and the exercise component of CR lowers cardiovascular mortality and readmission rates, regardless of the type of coronary heart disease and type and setting of CR. Individualized CR programs should be considered together with various factors, including differences in heart function and lifestyle, and doing so will boost participation and adherence with the CR program, ultimately meeting the final goals of the program, namely reducing the recurrence of myocardial infarction and mortality rates.	2019	eng	Journal Article	Korea (South)	31311260	https://www.ncbi.nlm.nih.gov/pubmed/31311260	heart+disease
Medicina (Kaunas, Lithuania)	Ductus Venosus Agenesis as a Marker of Pallister-Killian Syndrome.	The ductus venosus (DV) is a shunt that allows the direct flow of well-oxygenated blood from the umbilical vein (UV) to the coronary and cerebral circulation through the foramen ovale. Its agenesis has been associated with chromosomal abnormalities and rare genetic syndromes, structural defects, intrauterine growth restriction (IUGR) and even antepartum fetal demise. Pallister-Killian Syndrome (PKS) is a rare sporadic disorder with specific tissue mosaic distribution of an extra 12p isochromosome (i(12p)). Its main clinical features are moderate to severe intellectual disability/neuromotor delay, skin pigmentation abnormalities, typical facial appearance, variable association with multiple congenital malformations and epilepsy. Though prenatal findings (including congenital diaphragmatic hernia, ventriculomegaly, congenital heart disease, polyhydramnios, and rhizomelic shortening) have been described in literature, prenatal diagnosis is difficult as there are no associated identification signs no distinctive or pathognomonic signs, and some of these malformations are hard to identify prenatally. The tissue mosaicism linked to this syndrome and the decrease of the abnormal clone carrier of the i(p12) after successive trypsinizations of cultured cells makes the diagnosis even more challenging. We present the case of a 27.5 weeks pregnant woman with a fetal ductus venosus agenesis (DVA) as the main guide marker. To our knowledge this is the first case published in literature reporting a DVA as a guide sign to diagnose a complex condition as Pallister-Killian syndrome. We also underscore the key role of new genetic techniques as microarrays to avoid misdiagnosis when only a subtle sonographic sign is present in complex conditions like this.	2019	eng	Case Reports	Switzerland	31311125	https://www.ncbi.nlm.nih.gov/pubmed/31311125	heart+disease
Acta medica Lituanica	Angina pectoris and sinus of Valsalva aneurysm: a rare manifestation of an uncommon disease.	SantraukaValsalva sinuso aneurizma yra retai diagnozuojama aortos liga. Straipsnyje aprašomas 57 metų pacientės, kuriai diagnozuota kairiojo Valsalva sinuso aneurizmos sukelta krūtinės angina, klinikinis atvejis. Analizuojama klinikinė situacija yra sudėtinga ir išskirtinė, kadangi pacientei diagnozuota tiek Valsalva sinuso aneurizma, tiek aortos koarktacija. Liga pasireiškė jai nebūdingais simptomais ir sukėlė miokardo išemiją. Straipsnyje pateikiama naujausių mokslinių įrodymų ir įžvalgų analizė.	2018	eng	Journal Article	Lithuania	31308829	https://www.ncbi.nlm.nih.gov/pubmed/31308829	heart+disease
Journal of the American Academy of Dermatology	Part I - Ectoparasites: Scabies.	Scabies is an ectoparasitic dermatosis caused by Sarcoptes scabiei var. hominis and is a public health issue in all countries regardless of socioeconomic status. In high-income countries, delays in diagnosis can lead to institutional outbreaks while in low- and middle-income countries, poor access to healthcare contributes to disease undertreatment and long-term systemic sequelae. With scabies now recognized as a neglected tropical disease by the World Health Organization, increased awareness and systematic efforts are addressing gaps in diagnosis and treatment that impede scabies control. This review summarizes available data and provides an update on scabies epidemiology, clinical features, diagnosis, management, and public health considerations.	2019	eng	Review	United States	31310840	https://www.ncbi.nlm.nih.gov/pubmed/31310840	heart+disease
American journal of obstetrics and gynecology	Planned vaginal delivery and cardiovascular morbidity in pregnant women with heart disease.	These findings suggest that cesarean delivery does not reduce adverse cardiovascular outcomes and lend support to a planned vaginal birth for the majority of women with CVD including those with high-risk disease.	2019	eng	Journal Article	United States	31310750	https://www.ncbi.nlm.nih.gov/pubmed/31310750	heart+disease
Brazilian journal of cardiovascular surgery	Comparative Analysis of Myocardial Protection with HTK Solution and Hypothermic Hyperkalemic Blood Solution in the Correction of Acyanogenic Congenital Cardiopathies - A Randomized Study.	We conclude that in patients with acyanotic congenital cardiopathies submitted to total surgical correction, mean aortic clamping time around one hour, and cardiopulmonary bypass with moderate hypothermia, the HTK crystalloid cardioplegic solution offers the same myocardial protection as the cold-blood hyperkalemic cardioplegic solution analyzed, according to the variables considered in our study model.	2019	eng	Journal Article	Brazil	31310464	https://www.ncbi.nlm.nih.gov/pubmed/31310464	heart+disease
Psychiatric services (Washington, D.C.)	Clinical Care Quality Among Veterans Health Administration Patients With Mental Illness Following Medical Home Implementation.	Contrary to earlier reports of lower-quality care, patients with and without mental illness had similar preventive and chronic disease management care quality following medical home implementation.	2019	eng	Journal Article	United States	31310189	https://www.ncbi.nlm.nih.gov/pubmed/31310189	heart+disease
Environmental science & technology	Bisphenol A, chlorinated derivatives of Bisphenol A and occurrence of myocardial infarction in patients with type 2 diabetes: nested case-control studies in two European cohorts.	A positive association between Bisphenol A (BPA) exposure and coronary heart disease has been shown, but not in patients with type 2 diabetes (T2D). During the treatment of drinking water, chlorination leads to the formation of chlorinated derivatives of Bisphenol A (ClxBPA), that have higher estrogenic activity than BPA. No evidence exists for a relationship between exposure to ClxBPA and myocardial infarction in patients with T2D. The objective of this study was to evaluate the relationship between exposure to BPA, ClxBPA and the occurrence of myocardial infarction (MI) in patients with T2D. Two nested case-control studies in two independent European cohorts were performed. Each case with incident MI during follow-up was matched to one control on age, sex and personal cardiovascular history in the same cohort. Association between baseline urine concentrations of BPA and of ClxBPA and incident MI was determined. Exposure to BPA was 31% in the ESTHER cohort and 18% in the SURDIAGENE cohort. In a meta-analysis of the two studies, occurrence of MI was significantly associated with urine BPA detection: adjusted OR=1.97 (1.05; 3.70), p=0.04. Exposure to ClxBPA significantly differed in the SURDIAGENE and ESTHER studies: 24% and 8%, respectively (p=0.0003). It was very strongly associated with MI in the SURDIAGENE cohort with an adjusted odds ratio (OR) of 14.15 (95% confidence interval: 2.77 - 72.40) but this association was not replicated in the ESTHER study: adjusted OR: 0.17 (0.02 to 1.23). Whether these results may be explained by different water chlorination processes in France and Germany, resulting in different ClxBPA exposure levels, requires further investigation.	2019	eng	Journal Article	United States	31310111	https://www.ncbi.nlm.nih.gov/pubmed/31310111	heart+disease
The British journal of nutrition	Long-term vitamin D and high-dose n-3 fatty acids' supplementation improve markers of cardiometabolic risk in type 2 diabetic patients with CHD.	This study was performed to evaluate the effects of vitamin D and n-3 fatty acids' co-supplementation on markers of cardiometabolic risk in diabetic patients with CHD. This randomised, double-blinded, placebo-controlled trial was conducted among sixty-one vitamin D-deficient diabetic patients with CHD. At baseline, the range of serum 25-hydroxyvitamin D levels in study participants was 6·3-19·9 ng/ml. Subjects were randomly assigned into two groups either taking 50 000 IU vitamin D supplements every 2 weeks plus 2× 1000 mg/d n-3 fatty acids from flaxseed oil (n 30) or placebo (n 31) for 6 months. Vitamin D and n-3 fatty acids' co-supplementation significantly reduced mean (P = 0·01) and maximum levels of left carotid intima-media thickness (CIMT) (P = 0·004), and mean (P = 0·02) and maximum levels of right CIMT (P = 0·003) compared with the placebo. In addition, co-supplementation led to a significant reduction in fasting plasma glucose (β -0·40 mmol/l; 95 % CI -0·77, -0·03; P = 0·03), insulin (β -1·66 μIU/ml; 95 % CI -2·43, -0·89; P &lt; 0·001), insulin resistance (β -0·49; 95 % CI -0·72, -0·25; P &lt; 0·001) and LDL-cholesterol (β -0·21 mmol/l; 95 % CI -0·41, -0·01; P = 0·04), and a significant increase in insulin sensitivity (β +0·008; 95 % CI 0·004, 0·01; P = 0·001) and HDL-cholesterol (β +0·09 mmol/l; 95 % CI 0·01, 0·17; P = 0·02) compared with the placebo. Additionally, high-sensitivity C-reactive protein (β -1·56 mg/l; 95 % CI -2·65, -0·48; P = 0·005) was reduced in the supplemented group compared with the placebo group. Overall, vitamin D and n-3 fatty acids' co-supplementation had beneficial effects on markers of cardiometabolic risk.	2019	eng	Journal Article	England	31309919	https://www.ncbi.nlm.nih.gov/pubmed/31309919	heart+disease
Parasite immunology	Myocardial fibrosis in chagas disease and molecules related to fibrosis.	Chronic Chagas Cardiomyopathy (CCC) is responsible for the disease's greater morbidity and poor prognosis. Although understanding the pathophysiology of CCC and the fundamentals of its clinical management derives from research related to other carmyopathies there are peculiarities that distinguish CCC from the others. CCC is the most fibrous heart disease and its myocardial involvement is important as it disorganizes or disrupts the extracellular matrix, creating an environment conducive to the formation of arrhythmogenic foci. It is also considered the most arrhythmogenic of the known heart diseases, giving rise to complex arrhythmias, usually associated with varying degrees of stimulus conduction disorders. The central proposal of this review is to describe a possible association between the distribution and degree of myocardial fibrosis and cardiac arrhythmogenicity in patients with Chagas cardiomyopathy, drawing attention to the importance of noninvasive biomarkers for the quantification of myocardial fibrosis. This article is protected by copyright. All rights reserved.	2019	eng	Journal Article	England	31309590	https://www.ncbi.nlm.nih.gov/pubmed/31309590	heart+disease
Current treatment options in cardiovascular medicine	Conceptualizing the Risks of Coronary Heart Disease and Heart Failure Among People Aging with HIV: Sex-Specific Considerations.	Cardiovascular disease (CVD) is emerging as a major threat to healthy aging among people with HIV (PHIV). PHIV face heightened risks for coronary heart disease (CHD)/myocardial infarction (MI) and heart failure (HF), fueled by systemic immune activation and by metabolic dysregulation. Women with HIV (WHIV) evidence unique patterns of vascular and myocardial pathology as compared to men with HIV (MHIV). These patterns include a predilection to microvascular dysfunction and type II MI, as well as a penchant for diastolic dysfunction and heart failure with preserved ejection fraction (HFpEF). Investigations are underway to understand how advanced reproductive aging among WHIV influences systemic immune activation and metabolic dysregulation en route to these CVD phenotypes. A key goal is to identify targeted CVD prevention strategies relevant to WHIV, particularly as efficacious treatment approaches to type II MI and HFpEF are lacking.	2019	eng	Review	United States	31309321	https://www.ncbi.nlm.nih.gov/pubmed/31309321	heart+disease
